P,I,D,dP,dI,dD,SUM(d)
0.191256,0.0000424868,2.60494,0.00122916,0.000000205173,0.0134844,0.01471
0.188798,0.0000424868,2.60494,0.00122916,0.000000205173,0.0134844,0.01471
0.190027,0.000042692,2.60494,0.00110624,0.000000205173,0.0134844,0.01459
0.190027,0.0000422817,2.60494,0.00110624,0.000000205173,0.0134844,0.01459
0.190027,0.0000424868,2.59146,0.00110624,0.000000184656,0.0134844,0.01459
0.191133,0.0000424868,2.60494,0.00110624,0.000000184656,0.012136,0.01324
0.188921,0.0000424868,2.60494,0.00110624,0.000000184656,0.012136,0.01324
0.190027,0.0000426715,2.60494,0.000995618,0.000000184656,0.012136,0.01313
0.190027,0.0000423022,2.60494,0.000995618,0.000000184656,0.012136,0.01313
0.190027,0.0000424868,2.61708,0.000995618,0.00000016619,0.012136,0.01313
0.190027,0.0000424868,2.59281,0.000995618,0.00000016619,0.012136,0.01313
0.191022,0.0000424868,2.60494,0.000995618,0.00000016619,0.0109224,0.01192
0.189031,0.0000424868,2.60494,0.000995618,0.00000016619,0.0109224,0.01192
0.190027,0.000042653,2.60494,0.000896057,0.00000016619,0.0109224,0.01182
0.190027,0.0000423206,2.60494,0.000896057,0.00000016619,0.0109224,0.01182
0.190027,0.0000424868,2.61586,0.000896057,0.000000149571,0.0109224,0.01182
0.190027,0.0000424868,2.59402,0.000896057,0.000000149571,0.0109224,0.01182
0.190923,0.0000424868,2.60494,0.000896057,0.000000149571,0.00983016,0.01073
0.189131,0.0000424868,2.60494,0.000896057,0.000000149571,0.00983016,0.01073
0.190027,0.0000426364,2.60494,0.000806451,0.000000149571,0.00983016,0.01064
0.190027,0.0000423373,2.60494,0.000806451,0.000000149571,0.00983016,0.01064
0.190027,0.0000424868,2.61477,0.000806451,0.000000134614,0.00983016,0.01064
0.190027,0.0000424868,2.59511,0.000806451,0.000000134614,0.00983016,0.01064
